participant,date,num_steps,active_hours,calories_burned,distance_walked_mi
participant 1,3/5/24,4242,13,620,1.6
participant 1,3/6/24,3090,12,673,1.11
participant 1,3/7/24,4869,14,950,1.76
participant 1,3/8/24,5181,15,861,1.88
participant 1,3/9/24,2104,7,576,0.81
participant 1,3/10/24,3717,4,552,1.46
participant 1,3/11/24,5116,13,753,1.9
participant 1,3/12/24,5087,15,738,1.92
participant 1,3/13/24,3202,13,802,1.17
participant 1,3/14/24,4875,14,966,1.79
participant 1,3/15/24,3216,13,824,1.16
participant 1,3/16/24,6219,13,689,2.43
participant 1,3/17/24,3404,12,765,1.12
participant 1,3/18/24,4679,13,864,1.45
participant 2,3/5/24,2156,9,167,0.97
participant 2,3/6/24,2059,11,160,0.92
participant 2,3/7/24,1523,9,118,0.68
participant 2,3/8/24,2449,9,190,1.1
participant 2,3/9/24,3757,12,292,1.69
participant 2,3/10/24,3290,9,256,1.48
participant 2,3/11/24,2271,11,228,1.02
participant 2,3/12/24,2154,12,167,0.97
participant 2,3/13/24,2125,13,165,0.95
participant 2,3/14/24,2355,12,183,1.06
participant 2,3/15/24,2371,14,184,1.06
participant 2,3/16/24,3152,8,245,1.42
participant 2,3/17/24,2281,12,201,1.3
participant 2,3/18/24,1855,10,144,0.83
participant 3,3/5/24,4402,10,1405,1.65
participant 3,3/6/24,6384,14,1464,2.38
participant 3,3/7/24,5574,14,1952,2.06
participant 3,3/8/24,7676,16,1866,2.94
participant 3,3/9/24,5714,12,1439,2.26
participant 3,3/10/24,6017,12,1084,2.42
participant 3,3/11/24,5180,15,1870,2.34
participant 3,3/12/24,5941,14,1695,2.25
participant 3,3/13/24,6265,16,1695,2.33
participant 3,3/14/24,6481,12,1948,2.46
participant 3,3/15/24,6187,13,1612,2.3
participant 3,3/16/24,2370,6,1159,0.89
participant 3,3/17/24,5594,13,1249,2.45
participant 3,3/18/24,6203,14,1348,2.23